"filename", "language", "PHP", "XML", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "C++", "C", "CSV", "SCSS", "Perl", "YAML", "Properties", "Less", "Shell Script", "Log", "comment", "blank", "total"
"d:\Downloads\public_html\wp-admin\css\colors\coffee\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors-rtl.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\ectoplasm\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Downloads\public_html\wp-admin\css\colors\light\colors-rtl.css", "CSS", 0, 0, 0, 0, 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 120, 758
"d:\Downloads\public_html\wp-admin\css\colors\light\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\light\colors.css", "CSS", 0, 0, 0, 0, 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 120, 758
"d:\Downloads\public_html\wp-admin\css\colors\light\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\light\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 8, 39
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors-rtl.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\midnight\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Downloads\public_html\wp-admin\css\colors\modern\colors-rtl.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\modern\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\modern\colors.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\modern\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\modern\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Downloads\public_html\wp-admin\css\colors\ocean\colors-rtl.css", "CSS", 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112, 703
"d:\Downloads\public_html\wp-admin\css\colors\ocean\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\ocean\colors.css", "CSS", 0, 0, 0, 0, 564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112, 703
"d:\Downloads\public_html\wp-admin\css\colors\ocean\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\ocean\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Downloads\public_html\wp-admin\css\colors\sunrise\colors-rtl.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\sunrise\colors-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\sunrise\colors.css", "CSS", 0, 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118, 740
"d:\Downloads\public_html\wp-admin\css\colors\sunrise\colors.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\colors\sunrise\colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Downloads\public_html\wp-admin\css\common-rtl.css", "CSS", 0, 0, 0, 0, 3332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 635, 4118
"d:\Downloads\public_html\wp-admin\css\common-rtl.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9
"d:\Downloads\public_html\wp-admin\css\common.css", "CSS", 0, 0, 0, 0, 3332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 635, 4117
"d:\Downloads\public_html\wp-admin\css\common.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9
"d:\Downloads\public_html\wp-admin\css\customize-controls-rtl.css", "CSS", 0, 0, 0, 0, 2455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 445, 2969
"d:\Downloads\public_html\wp-admin\css\customize-controls-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\customize-controls.css", "CSS", 0, 0, 0, 0, 2455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 445, 2968
"d:\Downloads\public_html\wp-admin\css\customize-controls.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\customize-nav-menus-rtl.css", "CSS", 0, 0, 0, 0, 710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 149, 887
"d:\Downloads\public_html\wp-admin\css\customize-nav-menus-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\customize-nav-menus.css", "CSS", 0, 0, 0, 0, 710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 149, 886
"d:\Downloads\public_html\wp-admin\css\customize-nav-menus.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\customize-widgets-rtl.css", "CSS", 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 97, 485
"d:\Downloads\public_html\wp-admin\css\customize-widgets-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\customize-widgets.css", "CSS", 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 97, 484
"d:\Downloads\public_html\wp-admin\css\customize-widgets.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\dashboard-rtl.css", "CSS", 0, 0, 0, 0, 1030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 255, 1330
"d:\Downloads\public_html\wp-admin\css\dashboard-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\dashboard.css", "CSS", 0, 0, 0, 0, 1030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 255, 1329
"d:\Downloads\public_html\wp-admin\css\dashboard.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\deprecated-media-rtl.css", "CSS", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 80, 431
"d:\Downloads\public_html\wp-admin\css\deprecated-media-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
